Date,AAPL,GOOGL,SPY,TLT,BTC-USD,ETH-USD
2019-01-01,37.66718673706055,52.48308563232422,227.6374969482422,104.33214569091797,3843.52001953125,140.8194122314453
2019-01-02,37.66718673706055,52.48308563232422,227.6374969482422,104.33214569091797,3943.409423828125,155.0476837158203
2019-01-03,33.91525650024414,51.0295295715332,222.2053985595703,105.51937866210938,3836.7412109375,149.135009765625
2019-01-04,35.363067626953125,53.64701461791992,229.64834594726562,104.29796600341797,3857.717529296875,154.58193969726562
2019-01-05,35.363067626953125,53.64701461791992,229.64834594726562,104.29796600341797,3845.194580078125,155.6385955810547
2019-01-06,35.363067626953125,53.64701461791992,229.64834594726562,104.29796600341797,4076.632568359375,157.74620056152344
2019-01-07,35.284358978271484,53.5400276184082,231.45904541015625,103.99051666259766,4025.248291015625,151.69921875
2019-01-08,35.95698547363281,54.01028060913086,233.63368225097656,103.71720886230469,4030.847900390625,150.35963439941406
2019-01-09,36.56760787963867,53.825164794921875,234.72557067871094,103.55484771728516,4035.29638671875,150.80311584472656
2019-01-10,36.684478759765625,53.684837341308594,235.55355834960938,102.88865661621094,3678.924560546875,128.62518310546875
2019-01-11,36.324302673339844,52.970252990722656,235.6445770263672,103.29010009765625,3687.365478515625,127.54832458496094
2019-01-12,36.324302673339844,52.970252990722656,235.6445770263672,103.29010009765625,3661.301025390625,125.9665298461914
2019-01-13,36.324302673339844,52.970252990722656,235.6445770263672,103.29010009765625,3552.953125,116.8978042602539
2019-01-14,35.778099060058594,52.32533264160156,234.20692443847656,102.90576171875,3706.05224609375,129.0687255859375
2019-01-15,36.51036071777344,54.06700897216797,236.89114379882812,102.5299301147461,3630.67529296875,122.03271484375
2019-01-16,36.956390380859375,54.21629333496094,237.46432495117188,102.63243865966797,3655.0068359375,123.54706573486328
2019-01-17,37.17583084106445,54.69451141357422,239.26589965820312,102.65803527832031,3678.56396484375,123.7419204711914
2019-01-18,37.404815673828125,55.1015625,242.45054626464844,102.11991882324219,3657.83935546875,121.01026153564453
2019-01-19,37.404815673828125,55.1015625,242.45054626464844,102.11991882324219,3728.568359375,124.5190200805664
2019-01-20,37.404815673828125,55.1015625,242.45054626464844,102.11991882324219,3601.013671875,119.4748306274414
2019-01-21,37.404815673828125,55.1015625,242.45054626464844,102.11991882324219,3576.032470703125,117.15785217285156
2019-01-22,36.565216064453125,53.67488098144531,239.17495727539062,102.81177520751953,3604.5771484375,118.74755096435547
2019-01-23,36.71310043334961,53.96250915527344,239.67538452148438,102.76905822753906,3585.123046875,117.45260620117188
2019-01-24,36.4221076965332,53.94210433959961,239.80274963378906,103.4438247680664,3600.865478515625,117.36288452148438
2019-01-25,37.62902069091797,54.813438415527344,241.8318328857422,102.94844818115234,3599.765869140625,116.37834167480469
2019-01-26,37.62902069091797,54.813438415527344,241.8318328857422,102.94844818115234,3602.46044921875,116.48873901367188
2019-01-27,37.62902069091797,54.813438415527344,241.8318328857422,102.94844818115234,3583.9658203125,113.40528869628906
2019-01-28,37.28077697753906,53.73609161376953,239.99386596679688,102.845947265625,3470.450439453125,106.58997344970703
2019-01-29,36.894371032714844,53.2484245300293,239.67538452148438,103.36697387695312,3448.116943359375,105.59821319580078
2019-01-30,39.41554641723633,54.63827896118164,243.4696807861328,103.29010009765625,3486.181640625,108.90753936767578
2019-01-31,39.69938278198242,56.02663803100586,245.60794067382812,104.1783676147461,3457.792724609375,107.0610122680664
2019-02-01,39.71845245361328,55.66486740112305,245.72625732421875,103.5491943359375,3487.9453125,107.60978698730469
2019-02-02,39.71845245361328,55.66486740112305,245.72625732421875,103.5491943359375,3521.060791015625,110.43025970458984
2019-02-03,39.71845245361328,55.66486740112305,245.72625732421875,103.5491943359375,3464.013427734375,107.49266815185547
2019-02-04,40.84667205810547,56.79944610595703,247.45498657226562,103.0869369506836,3459.154052734375,107.82160186767578
2019-02-05,41.545536041259766,57.319454193115234,248.49227905273438,103.5577621459961,3466.357421875,107.44351959228516
2019-02-06,41.55984115600586,55.87735366821289,248.16468811035156,103.60913848876953,3413.767822265625,104.9192886352539
2019-02-07,40.77272415161133,55.03239440917969,245.79904174804688,104.29393005371094,3399.4716796875,104.5353012084961
2019-02-08,40.820621490478516,54.85673141479492,246.0992431640625,104.7391357421875,3666.7802734375,119.26774597167969
2019-02-09,40.820621490478516,54.85673141479492,246.0992431640625,104.7391357421875,3671.20361328125,119.4308853149414
2019-02-10,40.820621490478516,54.85673141479492,246.0992431640625,104.7391357421875,3690.188232421875,124.80648803710938
2019-02-11,40.585880279541016,54.84379577636719,246.2357177734375,104.32821655273438,3648.4306640625,121.29839324951172
2019-02-12,40.93560028076172,56.110740661621094,249.4021759033203,104.06281280517578,3653.528564453125,122.5722885131836
2019-02-13,40.765533447265625,56.162986755371094,250.2119903564453,103.66902923583984,3632.070556640625,122.55360412597656
2019-02-14,40.914058685302734,56.19135284423828,249.656982421875,104.259765625,3616.880859375,121.39020538330078
2019-02-15,40.823020935058594,55.71512985229492,252.3775634765625,104.42237854003906,3620.810791015625,122.10038757324219
2019-02-16,40.823020935058594,55.71512985229492,252.3775634765625,104.42237854003906,3629.78759765625,123.26021575927734
2019-02-17,40.823020935058594,55.71512985229492,252.3775634765625,104.42237854003906,3673.836181640625,133.598876953125
2019-02-18,40.823020935058594,55.71512985229492,252.3775634765625,104.42237854003906,3915.71435546875,146.09837341308594
2019-02-19,40.9451904296875,56.057491302490234,252.81422424316406,104.68775939941406,3947.094482421875,145.34619140625
