,Volatility,VaR (95%),CVaR (95%)
AAPL,0.01686446875271611,-0.025474817784732373,-0.04030576195374235
GOOGL,0.01663437169806635,-0.025318728253897072,-0.04001688796945579
SPY,0.01097952565706462,-0.015449130415281552,-0.0274182053221558
TLT,0.00922315910828753,-0.014743772590117077,-0.02103665391824585
BTC-USD,0.03495133792831401,-0.050177934099265006,-0.07936885259589928
ETH-USD,0.044575571596643444,-0.06559951629287031,-0.10203548743732825
